Status,Path,Consensus / Baseline,Different Files,E:/Coding/Spyder Projects/XML-Editor/XMLs/game.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game4.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated.xml
Same as Baseline,/careerSavegame[1]/mod[5]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_SulkyMasterPack,,FS25_SulkyMasterPack,FS25_SulkyMasterPack,FS25_SulkyMasterPack,FS25_SulkyMasterPack,FS25_SulkyMasterPack
Same as Baseline,/careerSavegame[1]/mod[5]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[5]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: Sulky Master Pack,,Sulky Master Pack,Sulky Master Pack,Sulky Master Pack,Sulky Master Pack,Sulky Master Pack
Same as Baseline,/careerSavegame[1]/mod[5]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.0,,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0
Same as Baseline,/careerSavegame[1]/mod[6],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[6]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 7edb846d607e16b935578fc1860402ff,,7edb846d607e16b935578fc1860402ff,7edb846d607e16b935578fc1860402ff,7edb846d607e16b935578fc1860402ff,7edb846d607e16b935578fc1860402ff,7edb846d607e16b935578fc1860402ff
Same as Baseline,/careerSavegame[1]/mod[6]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_FlieglTimberRunnerAutoload,,FS25_FlieglTimberRunnerAutoload,FS25_FlieglTimberRunnerAutoload,FS25_FlieglTimberRunnerAutoload,FS25_FlieglTimberRunnerAutoload,FS25_FlieglTimberRunnerAutoload
Same as Baseline,/careerSavegame[1]/mod[6]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[6]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: Fliegl Timber Runner Autoload Wood,,Fliegl Timber Runner Autoload Wood,Fliegl Timber Runner Autoload Wood,Fliegl Timber Runner Autoload Wood,Fliegl Timber Runner Autoload Wood,Fliegl Timber Runner Autoload Wood
Same as Baseline,/careerSavegame[1]/mod[6]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.0,,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0
